Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Bob Veale,0,22,22.9,22.5,13,1962,1974,2,120,95,0.558,3.07,113,397,255,63,78,20,21,1926,1684,755,658,91,858,62,1703,29,9,92,8163
Juan Pizarro,0,19.6,21,20.3,18,1957,1974,2,131,105,0.555,3.43,104,488,245,119,79,17,28,2034.1,1807,890,776,201,888,67,1522,41,2,65,8690
Milt Pappas,0,44,28.7,36.3,17,1957,1973,3,209,164,0.56,3.4,110,520,465,33,129,43,4,3186,3046,1331,1203,298,858,89,1728,72,6,97,13198
Chris Short,0,28.6,28.5,28.6,15,1959,1973,2,135,132,0.506,3.43,104,501,308,78,88,24,18,2325,2215,991,886,183,806,74,1629,61,6,73,9801
Denny McLain,0,19.5,22.3,20.9,10,1963,1972,3,131,91,0.59,3.39,101,280,264,8,105,29,2,1886,1646,778,711,242,548,24,1282,26,9,27,7719
Jim Bunning,0,59.6,49,54.3,17,1955,1971,9,224,184,0.549,3.27,115,591,519,39,151,40,16,3760.1,3433,1527,1366,372,1000,98,2855,160,8,47,15618
Camilo Pascual,0,40.9,38.3,39.6,18,1954,1971,7,174,170,0.506,3.63,103,529,404,67,132,36,10,2930.2,2703,1334,1183,256,1069,51,2167,61,12,86,12415
Jim Maloney,0,37.6,37,37.3,12,1960,1971,1,134,84,0.615,3.19,115,302,262,18,74,30,4,1849,1518,729,655,138,810,39,1605,36,2,124,7745
Pedro Ramos,0,21.9,19.8,20.9,15,1955,1970,1,117,160,0.422,4.08,95,582,268,182,73,13,54,2355.2,2364,1210,1068,316,724,76,1305,68,7,32,10048
Don Drysdale,1,67.2,44.8,56,14,1956,1969,9,209,166,0.557,2.95,121,518,465,34,167,49,6,3432,3084,1292,1124,280,855,123,2486,154,10,82,14097
Johnny Podres,0,30,26.1,28,15,1953,1969,4,148,116,0.561,3.68,105,440,340,46,77,24,10,2265,2239,1026,925,242,743,70,1435,28,8,66,9571
Whitey Ford,1,56.9,34.6,45.8,16,1950,1967,10,236,106,0.69,2.75,133,498,438,35,156,45,11,3170.1,2766,1107,967,228,1086,44,1956,28,5,75,13036
Curt Simmons,0,43.2,30.1,36.7,20,1947,1967,3,193,183,0.513,3.54,111,569,462,54,163,36,5,3348.1,3313,1551,1318,255,1063,62,1697,53,4,39,14144
