Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Darren Daulton,0,23,23.7,23.3,14,1983,1997,3,1161,4340,3630,511,891,197,25,137,588,50,10,629,726,0.245,0.357,0.427,0.784,114
Lance Parrish,0,39.5,28.4,34,19,1977,1995,8,1988,7797,7067,856,1782,305,27,324,1070,28,37,612,1527,0.252,0.313,0.44,0.753,106
Carlton Fisk,1,68.5,37.6,53,24,1969,1993,11,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,0.269,0.341,0.457,0.797,117
Gary Carter,1,70.1,48.4,59.3,19,1974,1992,11,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,0.262,0.335,0.439,0.773,115
Rick Dempsey,0,25.1,17.2,21.2,24,1969,1992,0,1765,5407,4692,525,1093,223,12,96,471,20,19,592,736,0.233,0.319,0.347,0.666,87
Terry Kennedy,0,21.6,19.4,20.5,14,1978,1991,4,1491,5421,4979,474,1313,244,12,113,628,6,15,365,855,0.264,0.314,0.386,0.699,96
Bob Boone,0,27.4,20.4,23.9,19,1972,1990,4,2264,8148,7245,679,1838,303,26,105,826,38,50,663,608,0.254,0.315,0.346,0.661,82
Jim Sundberg,0,40.5,28.7,34.6,16,1974,1989,3,1962,6899,6021,621,1493,243,36,95,624,20,37,699,963,0.248,0.327,0.348,0.674,90
Ted Simmons,0,50.3,34.8,42.6,21,1968,1988,8,2456,9685,8680,1074,2472,483,47,248,1389,21,33,855,694,0.285,0.348,0.437,0.785,118
Darrell Porter,0,40.9,29.1,35,17,1971,1987,4,1782,6570,5539,765,1369,237,48,188,826,39,37,905,1025,0.247,0.354,0.409,0.763,113
Steve Yeager,0,17.9,14.8,16.4,15,1972,1986,0,1269,4015,3584,357,816,118,16,102,410,14,18,342,726,0.228,0.298,0.355,0.653,83
John Wathan,0,5,7.6,6.3,10,1976,1985,0,860,2764,2505,305,656,90,25,21,261,105,36,199,265,0.262,0.318,0.343,0.661,83
John Stearns,0,19.7,19.4,19.6,11,1974,1984,4,810,3083,2681,334,696,152,10,46,312,91,51,323,294,0.26,0.341,0.375,0.717,102
Johnny Bench,1,75.2,47.2,61.2,17,1967,1983,14,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,0.267,0.342,0.476,0.817,126
Gene Tenace,0,46.8,35,40.9,15,1969,1983,1,1555,5527,4390,653,1060,179,20,201,674,36,42,984,998,0.241,0.388,0.429,0.817,136
Joe Ferguson,0,21,19.6,20.3,14,1970,1983,0,1013,3624,3001,407,719,121,11,122,445,22,12,562,607,0.24,0.358,0.409,0.767,116
Jerry Grote,0,15.1,14.2,14.7,16,1963,1981,2,1421,4844,4339,352,1092,160,22,39,404,15,23,399,600,0.252,0.316,0.326,0.642,83
Manny Sanguillen,0,27.5,26.4,27,13,1967,1980,3,1448,5383,5062,566,1500,205,57,65,585,35,38,223,331,0.296,0.326,0.398,0.724,102
Tim McCarver,0,28.3,21.4,24.9,21,1959,1980,2,1909,6206,5529,590,1501,242,57,97,645,61,49,548,422,0.271,0.337,0.388,0.725,102
Thurman Munson,0,46.1,37,41.6,11,1969,1979,7,1423,5905,5344,696,1558,229,32,113,701,48,50,438,571,0.292,0.346,0.41,0.756,116
Randy Hundley,0,11.6,13.4,12.5,14,1964,1977,1,1061,3801,3442,311,813,118,13,82,381,12,17,271,565,0.236,0.292,0.35,0.642,77
Bill Freehan,0,44.8,33.7,39.3,15,1961,1976,11,1774,6900,6073,706,1591,241,35,200,758,24,21,626,753,0.262,0.34,0.412,0.752,112
Johnny Edwards,0,14.8,15.1,14.9,14,1961,1974,3,1470,5132,4577,430,1106,202,32,81,524,15,23,465,635,0.242,0.311,0.353,0.664,85
Duke Sims,0,12.8,12.5,12.7,11,1964,1974,0,843,2810,2422,263,580,80,6,100,310,6,16,338,483,0.239,0.34,0.401,0.741,111
Chris Cannizzaro,0,6.3,6.5,6.4,13,1960,1974,1,740,2240,1950,132,458,66,12,18,169,3,17,241,354,0.235,0.319,0.309,0.628,78
Paul Casanova,0,1.3,4.3,2.8,10,1965,1974,1,859,2929,2786,214,627,87,12,50,252,2,10,101,430,0.225,0.252,0.319,0.571,65
Bob Barton,0,1.7,3.3,2.5,10,1965,1974,0,393,1153,1049,54,237,31,3,9,66,3,6,87,168,0.226,0.287,0.287,0.574,65
Jerry May,0,5.3,6,5.6,10,1964,1973,0,556,1716,1527,120,357,63,10,15,130,1,2,157,293,0.234,0.307,0.318,0.625,81
Elston Howard,0,27,26.4,26.7,14,1955,1968,12,1605,5845,5363,619,1471,218,50,167,762,9,14,373,786,0.274,0.322,0.427,0.749,108
Smoky Burgess,0,33.3,23,28.1,18,1949,1967,9,1691,5013,4471,485,1318,230,33,126,673,13,14,477,270,0.295,0.362,0.446,0.807,116
Del Crandall,0,28.6,24.6,26.6,16,1949,1966,11,1573,5583,5026,585,1276,179,18,179,657,26,31,424,477,0.254,0.312,0.404,0.716,96
Yogi Berra,1,59.4,37,48.2,19,1946,1965,18,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,0.285,0.348,0.482,0.83,125
Clint Courtney,0,7.2,8.4,7.8,11,1951,1961,0,946,3146,2796,260,750,126,17,38,313,3,16,264,143,0.268,0.339,0.366,0.705,94
Del Rice,0,5.1,6.2,5.7,17,1945,1961,1,1309,4313,3826,342,908,177,20,79,441,2,3,382,522,0.237,0.312,0.356,0.668,78
Jim Hegan,0,3.7,5.6,4.6,17,1941,1960,5,1666,5321,4772,550,1087,187,46,92,525,15,24,456,742,0.228,0.295,0.344,0.639,74
Roy Campanella,1,34.1,32.8,33.5,10,1948,1957,8,1215,4815,4205,627,1161,178,18,242,856,25,20,533,501,0.276,0.36,0.5,0.86,123
Walker Cooper,0,28.9,22.9,25.9,18,1940,1957,8,1473,5076,4702,573,1341,240,40,173,812,18,11,309,357,0.285,0.332,0.464,0.796,116
Ernie Lombardi,0,45.9,27.8,36.9,17,1931,1947,8,1853,6352,5855,601,1792,277,27,190,990,8,4,430,262,0.306,0.358,0.46,0.818,126
Al Lopez,0,16.6,11.7,14.2,19,1928,1947,2,1950,6608,5916,613,1547,206,43,51,652,46,9,556,538,0.261,0.326,0.337,0.663,83
Jim Thome,1,72.9,41.5,57.2,22,1991,2012,5,2543,10313,8422,1583,2328,451,26,612,1699,19,20,1747,2548,0.276,0.402,0.554,0.956,147
Aubrey Huff,0,20.4,22.6,21.5,13,2000,2012,0,1681,6786,6104,806,1699,360,24,242,904,37,25,571,907,0.278,0.342,0.464,0.806,114
Derrek Lee,0,34.6,27.3,30.9,15,1997,2011,2,1942,7963,6962,1081,1959,432,30,331,1078,104,48,874,1622,0.281,0.365,0.495,0.859,122
Mike Sweeney,0,24.8,21.8,23.3,16,1995,2010,5,1454,5848,5188,759,1540,325,5,215,909,53,25,522,613,0.297,0.366,0.486,0.851,118
Carlos Delgado,0,44.4,34.5,39.5,17,1993,2009,2,2035,8657,7283,1241,2038,483,18,473,1512,14,8,1109,1745,0.28,0.383,0.546,0.929,138
Tony Clark,0,12.4,15.9,14.1,15,1995,2009,1,1559,5120,4532,629,1188,233,11,251,824,6,9,527,1209,0.262,0.339,0.485,0.824,112
Frank Thomas,1,73.9,45.4,59.6,19,1990,2008,5,2322,10075,8199,1494,2468,495,12,521,1704,32,23,1667,1397,0.301,0.419,0.555,0.974,156
Richie Sexson,0,18,18.9,18.5,12,1997,2008,2,1367,5604,4928,748,1286,260,17,306,943,14,13,588,1313,0.261,0.344,0.507,0.851,120
Sean Casey,0,16.5,16.4,16.4,12,1997,2008,3,1405,5644,5066,690,1531,322,12,130,735,18,8,477,577,0.302,0.367,0.447,0.814,109
J.T. Snow,0,11,12.8,11.9,16,1992,2008,0,1716,6553,5641,798,1509,293,19,189,877,20,23,760,1142,0.268,0.357,0.427,0.784,105
Ryan Klesko,0,27,21.8,24.4,16,1992,2007,1,1736,6523,5611,874,1564,343,33,278,987,91,41,817,1077,0.279,0.37,0.5,0.87,128
Jeff Bagwell,1,79.9,48.3,64.1,15,1991,2005,4,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,0.297,0.408,0.54,0.948,149
Rafael Palmeiro,0,71.9,38.9,55.4,20,1986,2005,4,2831,12046,10472,1663,3020,585,38,569,1835,97,40,1353,1348,0.288,0.371,0.515,0.885,132
John Olerud,0,58.2,39,48.6,17,1989,2005,2,2234,9063,7592,1139,2239,500,13,255,1230,11,14,1275,1016,0.295,0.398,0.465,0.863,129
Tino Martinez,0,29,21.8,25.4,16,1990,2005,2,2023,8044,7111,1009,1925,365,21,339,1271,27,20,780,1069,0.271,0.344,0.471,0.815,112
